Layer 1: 3 regions
Layer 2: 3 regions
Layer 3: 3 regions
Layer 4: 3 regions
Layer 5: 3 regions
Layer 6: 3 regions
Layer 7: 3 regions
Layer 8: 3 regions
Layer 9: 3 regions
Layer 10: 3 regions
Layer 11: 3 regions
Layer 12: 3 regions
Layer 13: 3 regions
Layer 14: 3 regions
Layer 15: 3 regions
Layer 16: 3 regions
Layer 17: 3 regions
Layer 18: 3 regions
Layer 19: 3 regions
Layer 20: 3 regions
Layer 21: 3 regions
Layer 22: 3 regions
Layer 23: 3 regions
Layer 24: 3 regions
Layer 25: 3 regions
Layer 26: 3 regions
Layer 27: 3 regions
Layer 28: 3 regions
Layer 29: 3 regions
Layer 30: 3 regions
Layer 31: 3 regions
Layer 32: 3 regions
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0aceff1040-0x7f0ad1725040] in pid 1699155 to node 2, Bandwidth: 0.882 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0ac7ff0040-0x7f0aca724040] in pid 1699155 to node 2, Bandwidth: 0.904 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 1] [0x7f0aca724040-0x7f0acce566a6] in pid 1699155 to node 2, Bandwidth: 0.897 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 1] [0x7f0ac3723040-0x7f0ac5e556a6] in pid 1699155 to node 2, Bandwidth: 0.870 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0ac0fef040-0x7f0ac3723040] in pid 1699155 to node 2, Bandwidth: 0.865 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0ab9fee040-0x7f0abc722040] in pid 1699155 to node 2, Bandwidth: 0.899 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 1] [0x7f0abc722040-0x7f0abee546a6] in pid 1699155 to node 2, Bandwidth: 0.893 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0ab2fed040-0x7f0ab5721040] in pid 1699155 to node 2, Bandwidth: 0.857 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 1] [0x7f0ab5721040-0x7f0ab7e536a6] in pid 1699155 to node 2, Bandwidth: 0.856 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0aabfec040-0x7f0aae720040] in pid 1699155 to node 2, Bandwidth: 0.863 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 1] [0x7f0aae720040-0x7f0ab0e526a6] in pid 1699155 to node 2, Bandwidth: 0.853 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0aa4feb040-0x7f0aa771f040] in pid 1699155 to node 2, Bandwidth: 0.881 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 1] [0x7f0aa771f040-0x7f0aa9e516a6] in pid 1699155 to node 2, Bandwidth: 0.868 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0a9dfea040-0x7f0aa071e040] in pid 1699155 to node 2, Bandwidth: 0.867 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 1] [0x7f0aa071e040-0x7f0aa2e506a6] in pid 1699155 to node 2, Bandwidth: 0.866 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 1] [0x7f0a9971d040-0x7f0a9be4f6a6] in pid 1699155 to node 2, Bandwidth: 0.887 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0a96fe9040-0x7f0a9971d040] in pid 1699155 to node 2, Bandwidth: 0.861 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 1] [0x7f0a9271c040-0x7f0a94e4e6a6] in pid 1699155 to node 2, Bandwidth: 0.838 GB/sec
[2025-06-23 04:17:13] SUCCESS: [Thread 0] [0x7f0a8ffe8040-0x7f0a9271c040] in pid 1699155 to node 2, Bandwidth: 0.837 GB/sec
